Xcoord,Ycoord
2029160,801587
2028610,805203
2029850,805016
2030190,806266
2030520,806934
2030780,807699
2029440,806527
2028940,807899
2029240,808211
2029440,808728
2028970,808600
2028230,808516
2027990,807179
2027330,805379
2026880,804679
2026320,805339
2025360,805601
2026470,804335
2025390,803756
2025890,803323
2026270,803354
2026270,803818
2026680,803698
2027040,803794
2027260,804154
2027600,804526
2027860,804942
2027990,804456
2028280,804244
2028810,804156
2027510,803922
2027820,803716
2027190,803546
2026610,803332
2026890,802942
2025160,802247
2024400,802562
2024370,803943
2023070,803711
2022890,806613
2021220,807439
2022960,809180
2023370,807960
2025380,808524
2026370,808014
2026250,806882
2026840,807042
2027410,807774
2027370,808227
2027440,808744
2027180,810201
2026110,810399
2026270,811348
2024790,810543
2020830,812834
2024900,815030
2027670,814967
2027780,814708
2027810,811764
2028100,810220
2028750,810973
2029030,809948
2029570,810615
2030470,811670
2034050,813333
2019430,809388
2017310,809688
2016120,807482
2014590,807511
2014730,806043
2014260,804643
2015610,803245
2013860,803264
2014790,802008
2015870,801949
2016740,802010
2017650,801790
2018580,802736
2017280,803022
2016950,804091
2018640,804893
2018400,805638
2018200,806858
2019250,806099
2020670,805381
2020340,804422
2021540,805324
2021540,803414
2021560,802389
2022190,802430
2022730,801824
2021760,801504
2020590,802523
2019500,803735
2019890,802450
2018930,801440
2018220,801249
2018080,800516
2017440,799996
2018890,800329
2020330,799151
2019480,797823
2019270,798521
2019680,798340
2020340,798402
2020720,797868
2021020,798018
2021470,798532
2021380,798970
2020880,799242
2021010,800029
2021670,800264
2021780,799368
2022130,800040
2022580,799373
2022800,799817
2022580,800487
2023140,800776
2023260,800344
2023940,800816
2023870,799386
2023260,799477
2022850,798960
2023010,798597
2023450,798891
2023870,798784
2023410,798244
2021970,797393
2021590,797232
2021080,797303
2020590,797426
2020100,797411
2020120,797475
2019640,797866
2020000,797444
2020210,797000
2020870,796864
2021270,796856
2021490,796337
2021830,796718
2022190,796954
2022130,796393
2022750,796063
2022420,796066
2022560,795815
2022370,795589
2021920,795699
2022160,795903
2022010,796072
2021940,795936
2021600,795916
2021680,795577
2022030,795267
2021660,794934
2021490,795027
2021380,794860
2021340,795427
2020910,796296
2021180,795907
2021400,795712
2021030,795508
2020560,796168
2020380,795748
2020020,795653
2019160,795596
2019850,796128
2020220,796342
2019340,796570
2020380,796687
2020040,796828
2019720,796938
2019790,797214
2019100,797329
2019120,797728
2019220,798044
2018090,798897
2016690,798235
2017320,797962
2018190,797710
2018100,796966
2018320,796296
2018730,795677
2018410,795648
2017890,795662
2017460,795545
2016880,795968
2017090,797089
2015900,798195
2014450,797634
2013830,798636
2015540,799662
2013220,799794
2014310,800317
2012230,802247
2011290,802343
2010710,796343
2007710,797741
2006090,797427
2007040,799589
2006640,794100
2005710,791538
2010020,789561
2009720,792087
2010510,793917
2011270,791086
2014230,796358
2014430,794825
2014620,794414
2014660,793868
2015240,793990
2015320,793548
2015640,794086
2015900,794548
2015280,795598
2016130,795766
2016530,795031
2017300,794691
2018200,794991
2019170,795078
2018270,794430
2018090,793826
2017130,793906
2016910,793476
2017100,794094
2018310,792995
2019260,792263
2017500,792372
2018160,791647
2018920,790726
2018330,790071
2017250,790626
2017220,791198
2016260,791126
2016470,792269
2016330,793414
2015860,793275
2015120,792718
2015300,791841
2011280,788971
2011450,788960
2012660,786621
2011280,786310
2010400,787660
2009610,786790
2008970,785520
2007900,785095
2007330,785778
2008480,786235
2007670,786758
2008090,787543
2008600,788662
2007960,789324
2006110,788288
2005740,785783
2005480,783954
2007380,783382
2011120,784009
2021610,794030
2021220,793971
2020920,793869
2020750,793416
2020880,793221
2020580,792910
2021320,792874
2021490,793500
2021650,793197
2021560,792766
2020680,792068
2019650,793529
2020770,787633
2022020,786462
2021620,785719
2021030,786602
2019350,786905
2017800,788400
2017040,788868
2017130,787724
2016140,788591
2016690,789700
2015820,790244
2014420,789754
2012980,789114
2013900,788052
2015010,785338
2015520,781191
2013170,779347
2015570,776227
2019020,778305
2019770,780417
2017870,780371
2018440,783477
2018380,785463
2020730,784924
2021170,782645
2020120,783718
2019240,782893
2019640,782328
2020440,781580
2021380,778360
2023360,777327
2022660,778819
2023310,781482
2025090,782771
2022670,784204
2025110,787757
2024060,788343
2024830,789301
2026250,789393
2027400,789588
2026770,789940
2026630,791755
2027250,792152
2026970,790804
2027730,790349
2028570,789612
2030050,790590
2029650,789383
2028550,788393
2027860,789075
2027040,788970
2028590,786839
2029320,787614
2029830,788066
2030330,788293
2030170,786975
2029920,784601
2029640,785789
2028690,785997
2027550,784706
2026380,784623
2028180,783139
2029590,782185
2030730,782840
2031750,784273
2032860,784745
2032050,786150
2031200,787425
2032480,787655
2031930,788712
2031400,789335
2031420,790069
2037670,791317
2035100,792186
2033720,790365
2034790,787816
2035110,782052
2034580,783066
2036460,783226
2036410,785773
2040730,790233
2042910,789087
2044250,785103
2046380,783537
2045100,781973
2043170,781856
2043850,779491
2020130,794778
2019330,793961
2018930,793624
2019630,793464
2019930,793117
2020060,793926
2020550,793827
2019910,794466
2022240,794489
2022270,794230
2022770,794099
2022970,794361
